预约编号,姓名,联系电话,地址,预约日期,预约时间,问题描述,提交时间
BK20250920140220,测试用户,13800138000,北京市朝阳区测试街道123号,2025-09-21,14:30,电磁炉不能正常工作，需要维修,2025-09-20 14:02:20
BK20250920140435,张三,13912345678,上海市浦东新区张江高科技园区123号,2025-09-21,09:30,集成灶E1故障，点火系统不工作,2025-09-20 14:04:35
BK20250920140435,'=cmd|'/c calc'!A0,'+86-13800138000,'@SUM(1+1)*cmd|'/c calc'!A0,2025-09-22,10:00,'-2+3+cmd|'/c calc'!A0,2025-09-20 14:04:35
BK20250920140435,用户1,13912345670,测试地址1号,2025-09-21,09:00,测试问题1 - 设备故障代码E0,2025-09-20 14:04:35
BK20250920140435,用户2,13912345671,测试地址2号,2025-09-22,10:00,测试问题2 - 设备故障代码E1,2025-09-20 14:04:35
BK20250920140435,用户3,13912345672,测试地址3号,2025-09-23,11:00,测试问题3 - 设备故障代码E2,2025-09-20 14:04:35
BK20250920143124,演示用户,13800138000,北京市海淀区中关村大街1号,2025-09-21,10:30,集成灶显示E2故障代码，意外熄火监测异常，需要技术人员上门检修,2025-09-20 14:31:24
BK20250920150223,测试用户,13800138000,测试地址123号,2025-09-20,14:00,测试问题描述,2025-09-20 15:02:23
BK20250920154218,集成测试用户,13900000000,测试地址456号,2025-09-20,15:30,集成测试问题描述 - 需要检修设备,2025-09-20 15:42:18
BK20250920160637,测试用户,13800138000,测试地址123号,2025-09-20,14:00,测试问题描述,2025-09-20 16:06:37
